Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,
2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,31,,,,,
2011,7,9,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,
2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,,,,,
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,4,,,,,
2012,2,10,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,
2012,3,2,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,
2012,12,12,,,Tolbachik,Kamchatka,Russia,55.832,160.326,3611,Shield volcano,,,,,,
2013,2,12,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,1,,,
2013,2,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,,
2013,5,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,5,,8,,,
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,5,,,,,
2013,9,1,,,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,,,,,,
2013,9,4,,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,,,,,,
2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2013,12,13,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,,,,,
2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,17,,3,,,
2014,2,13,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,7,,,,4098,
2014,9,27,,,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,55,,70,,,
2014,11,10,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,14.5,1,
2014,11,23,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,230,
2014,12,18,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,1,,4,,,
2015,2,20,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2015,4,22,,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,,,,,,
2015,5,2,5584,10140,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,
2015,5,7,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,
