Year,Mo,Dy,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
2004,5,8,PAKISTAN,PAKISTAN:  QUETTA,30.126,67.121,10,4.5,1,,30,,,
2004,5,19,PHILIPPINES,PHILIPPINES:  BOHOL ISLAND:  TUBIGON,9.926,124.038,35,4.1,,,,,,
2004,5,28,IRAN,"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",36.29,51.61,17,6.3,35,,400,165,3880,
2004,5,30,RUSSIA,"RUSSIA:  SAKHALIN, YUZHNO, SAKHALINSK",47.311,142.12,14,4.9,,,,,,46
2004,6,9,SAUDI ARABIA,SAUDI ARABIA: WESTERN,27.836,36.905,10,4.6,,,,,,
2004,6,15,CHILE,"CHILE: CARAHUE, IMPERIAL, TEMUCO",-38.854,-73.155,38,5.9,,,,,,
2004,7,1,TURKEY,TURKEY:  DOGUBEYAZIT,39.766,43.979,5,5.1,18,,21,,,
2004,7,12,SLOVENIA,"SLOVENIA: BOVEC, KOBARID",46.296,13.641,8,5.2,1,,5,,,
2004,7,14,AFGHANISTAN,AFGHANISTAN: HERAT,34.89,61.852,,4.6,,,,,,150
2004,7,18,NEW ZEALAND,"NEW ZEALAND:  NORTH ISLAND:  ROTORUA, TAURANGA",-38,176.51,5,5.4,1,,2,,,5
2004,7,18,AFGHANISTAN,AFGHANISTAN: PAKTIA PROVINCE,33.426,69.524,10,5.2,2,,40,,,
2004,7,30,TURKEY,TURKEY:  DOGUBEYAZIT,39.634,43.966,5,4,1,,5,,,
2004,8,4,TURKEY,TURKEY:  BODRUM,36.833,27.815,10,5.6,,,15,,,
2004,8,10,CHINA,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.266,103.873,6,5.4,4,,600,50,18556,65601
2004,8,11,TURKEY,"TURKEY:  ELAZIG, SIVRICE",38.377,39.261,7,5.7,1,,11,,,
2004,9,5,JAPAN,JAPAN:  HONSHU:  W COAST: KYOTO,33.07,136.618,14,7.2,,,4,,,
2004,9,5,JAPAN,"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI",33.184,137.071,10,7.4,,,40,,,
2004,9,7,ARGENTINA,ARGENTINA: CATAMARCA,-28.573,-65.84,22,6.1,1,,,,,
2004,9,7,CHINA,CHINA:  GANSU PROVINCE,34.682,103.781,10,5.2,,,19,,600,
2004,9,21,POLAND,"POLAND: SUWALKI; RUSSIA: KALININGRAD, SVETLOGORSK",54.841,19.912,10,4.8,,,3,,,
2004,9,28,USA,"CALIFORNIA:  CENTRAL: PARKFIELD, SAN MIGUEL",35.819,-120.364,9,6,,,,,,
2004,10,1,NICARAGUA,"NICARAGUA:  CHINANDEGA, LEON",11.989,-86.52,87,5.6,,,,,,
2004,10,7,IRAN,IRAN:  GOLESTAN,37.125,54.477,35,5.6,,,60,,,
2004,10,15,TAIWAN,TAIWAN:  T'AO-YUAN,24.53,122.694,94,6.6,,,,,,
2004,10,18,CHINA,CHINA:  YUNNAN PROVINCE:  BAOSHAN,25.073,99.169,30,4.4,,,12,,20000,
2004,10,23,JAPAN,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.226,138.779,16,6.6,40,,3183,28000,6000,
2004,10,27,JAPAN,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.284,138.885,14,5.9,,,5,,1,
2004,10,27,ROMANIA,"ROMANIA:  BUCHAREST, BRAILA; BULGARIA:  NORTHERN",45.787,26.622,96,5.8,,,,,,
2004,11,2,CANADA,CANADA:  VANCOUVER ISLAND,49.277,-128.772,10,6.6,,,,,,
2004,11,4,GREECE,GREECE:  CRETE:  ANTIKYTHIRA,35.945,23.115,74,5.2,,,,,,
2004,11,8,JAPAN,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.396,138.862,10,5.5,,,8,,,
2004,11,11,INDONESIA,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868,10,7.5,34,,400,,781,16712
2004,11,15,COLOMBIA,"COLOMBIA:  BAJO BAUDO, BUENAVENTURA, CERRITO",4.695,-77.508,15,7.2,,,10,,154,
2004,11,19,IRAN,IRAN:  W,32.023,48.836,37,4.8,,,,,,
2004,11,20,COSTA RICA,"COSTA RICA:  SAN JOSE, PARRITA, QUEPOS",9.602,-84.172,16,6.4,8,,,,526,
2004,11,21,GUADELOUPE,"GUADELOUPE:  BASSE-TERRE, LES SAINTES",15.679,-61.706,14,6.3,1,,12,,,
2004,11,22,IRAN,"IRAN:  KHORRAMABAD, POL-E DOKHTAR",33.297,47.977,36,5,,,,,,
2004,11,22,NEW ZEALAND,"NEW ZEALAND:  INVERCARGILL, SOUTHLAND, OTAGO",-46.676,164.721,10,7.1,,,,,,
2004,11,24,ITALY,ITALY:  NORTHERN:  BRESCIA,45.626,10.559,17,5.1,,,9,,,
2004,11,26,INDONESIA,INDONESIA:  NABIRE,-3.609,135.404,10,7.1,32,,130,55,328,
2004,11,28,JAPAN,"JAPAN:  HOKKAIDO:  BEKKAI, KUSHIRO, NEMOURO",43.006,145.119,39,7,,,24,,,
2004,12,1,ALGERIA,ALGERIA:  BOUMERDAS,36.848,3.448,10,4.5,,,15,,,
2004,12,2,TRINIDAD AND TOBAGO,TRINIDAD:  MAYARO,10.49,-61.48,49,5.8,,,,,,
2004,12,5,GERMANY,"GERMANY:  EMMENDINGEN, FREIBURG IM BREISGAU",48.115,8.077,10,4.8,,,,,,
2004,12,5,ALGERIA,ALGERIA:  ZEMMOURI,36.865,3.421,10,4.5,,,46,,,
2004,12,6,JAPAN,JAPAN:  HOKKAIDO:  KUSHIRO,42.9,145.228,35,6.8,,,4,,,
2004,12,9,INDIA,"INDIA:  HAILAKANDI, CACHAR",24.757,92.539,35,5.4,,,,,,
2004,12,14,JAPAN,"JAPAN:  HOKKAIDO:  OBIRO, HABORO, TOMAMAE",44.119,141.793,10,5.8,,,3,,,
2004,12,20,TURKEY,TURKEY:  MARMARIS,37.042,28.206,5,5.4,,,3,,,
2004,12,23,AUSTRALIA,AUSTRALIA:  MACQUARIE ISLAND,-49.312,161.345,10,8.1,,,,,,
2004,12,26,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.295,95.982,30,9.1,227899,,,10000,,
2005,1,10,IRAN,IRAN:  GORGAN,37.103,54.574,32,5.4,,,110,,,
2005,1,19,JAPAN,JAPAN:  EAST COAST HONSHU,34.064,141.491,28,6.6,,,,,,
2005,1,20,NEW ZEALAND,NEW ZEALAND:  NORTH ISLAND,-41.223,175.21,39,5.3,,,,,,
2005,1,23,INDONESIA,INDONESIA:  SULAWESI:  PALU,-1.198,119.933,11,6.3,1,,4,,,
2005,1,24,ECUADOR,"ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO",-1.364,-80.785,17,6.1,,,,,,
2005,1,25,CHINA,CHINA:  YUNNAN PROVINCE:  SIMAO,22.526,100.709,12,4.8,,,3,,,
2005,1,25,TURKEY,TURKEY:  HAKKARI,37.622,43.703,41,5.9,2,,22,,,
2005,1,29,SPAIN,"SPAIN:  LA PACA, ZARCILLA DE RAMOS",37.91,-1.82,5,4.4,,,,,,
2005,2,2,INDONESIA,INDONESIA:  JAVA:  GARUT,-7.037,107.819,15,4.8,1,,,,,
2005,2,14,GUADELOUPE,GUADELOUPE,15.775,-61.744,12,5.8,,,,,,
2005,2,14,CHINA,CHINA:  XINJIANG PROVINCE:  WUSHI,41.728,79.44,22,6.1,,,,,6000,
2005,2,15,INDIA,INDIA:  KHASPUR,24.55,92.524,35,5.1,,,,,,
2005,2,22,IRAN,IRAN:  KERMAN PROVINCE:  ZARAND,30.754,56.816,14,6.4,612,,1411,,8000,
2005,3,2,PAKISTAN,PAKISTAN:  QUETTA,30.378,68.038,52,4.9,,,1,,,
2005,3,9,SOUTH AFRICA,"SOUTH AFRICA:  KLERKSDORP, STILFONTEIN",-26.913,26.789,5,4.3,2,,58,,,
2005,3,12,TURKEY,"TURKEY:  CAT, KARLIOVA",39.44,40.978,11,5.6,,,16,,,
2005,3,13,IRAN,IRAN:  SARAVAN,27.095,61.887,54,6,,,,,,
2005,3,14,TURKEY,TURKEY:  EASTERN:  BINGOL PROVINCE,39.354,40.89,5,5.8,,,18,,,
2005,3,14,INDIA,"INDIA:  MAHARASHTRA:  KOLHAPUR, RATNAGIRI, SATARA",17.145,73.73,10,4.9,,,45,,,
2005,3,15,INDIA,INDIA:  MAHARASHTRA:  DHEBEWADI,17.072,73.668,10,4.3,,,,,,
2005,3,20,JAPAN,"JAPAN:  KYUSHU:  FUKUOKA, GENKAI",33.807,130.131,10,6.6,1,,500,,65,
2005,3,28,INDONESIA,INDONESIA:  SUMATERA:  SW,2.085,97.108,30,8.6,1319,,340,37.36,300,
2005,4,10,INDONESIA,INDONESIA:  PADANG,-1.644,99.607,19,6.7,,,,,,
2005,6,13,CHILE,CHILE:  TARAPACA,-19.987,-69.197,116,7.7,11,,200,,544,
2005,6,15,USA,CALIFORNIA:  OFF COAST NORTHERN,41.301,-125.97,10,7.2,,,,,,
2005,7,5,INDONESIA,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.819,97.082,21,6.7,,,,,,
2005,7,9,INDONESIA,INDONESIA:  SULAWESI:  DONGGALA,-1.174,119.963,32,5.9,,,,,6,
2005,7,10,ALBANIA,ALBANIA:  TROPOJE,42.389,19.812,4,5.2,,,,,,
2005,7,18,INDONESIA,INDONESIA:  TIMOR:  TIMOR TENGAH UTARA,-9.948,124.48,10,5.3,,,,,,
2005,7,23,JAPAN,JAPAN:  HONSHU:  TOKYO,35.498,139.982,61,5.9,,,27,,1,
2005,7,24,INDIA,"INDIA:  ANDAMAN ISLANDS,  NICOBAR ISLANDS",7.92,92.19,16,7.2,,,,,,
2005,7,25,CHINA,CHINA:  DAQING,46.827,125.058,48,4.7,1,,12,,,
2005,7,26,USA,"MONTANA:  DILLON, SILVER STAR, TWIN BRIDGES",45.365,-112.615,13,5.6,,,,,,
2005,7,30,TURKEY,"TURKEY:  BAHCEKARADALAK, SIRAPINAR, YENIYAPANSEYHLI",39.437,33.089,5,5.3,,,,,,
2005,8,5,CHINA,CHINA:  YUNNAN PROVINCE:  HUIZE,26.569,103.036,42,4.8,,,9,,3700,
2005,8,5,VIETNAM,VIETNAM:  HO CHI MINH CITY,9.985,108.383,10,4.5,,,,,,
2005,8,9,IRAN,IRAN:  FIRUZABAD,28.85,52.56,10,5.1,,,,,,
2005,8,13,CHINA,CHINA:  YUNNAN PROVINCE:  WENSHAN,23.627,104.103,10,4.5,,,26,,,
2005,8,14,CHILE,CHILE:  TARAPACA,-19.78,-68.98,11,5.8,,,,,,
2005,8,14,INDIA,INDIA:  MAHARASHTRA,17.398,74.118,35,4.4,,,,,,
2005,8,16,JAPAN,JAPAN:  EAST COAST HONSHU,38.276,142.039,36,7.2,,,56,,1,
2005,8,16,INDIA,INDIA:  UTTARANCHAL:  UTTARKAHI,30.924,78.56,43,4.4,,,,,,
2005,8,30,INDIA,"INDIA: MAHARASHTRA: AMBEGHAR, DICHOLI, KISRULE",17.067,73.773,10,4.7,,,,,,
2005,9,9,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW IRELAND,-4.539,153.474,90,7.7,,,,,,
2005,9,24,ETHIOPIA,ETHIOPIA:  DABBAHU,12.471,40.634,12,5.6,,,,,,
2005,9,26,PERU,"PERU:  LAMAS, CHACHAPOYAS, MOYOBAMBA, TARAPOTA",-5.678,-76.398,115,7.5,5,,60,,,
2005,10,1,PERU,PERU:  MOQUEGUA,-16.635,-70.794,20,5.3,,,10,,300,
2005,10,8,PAKISTAN,"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA",34.451,73.649,15,7.6,76213,,146599,6680,,
2005,10,20,TURKEY,TURKEY:  IZMIR,38.152,26.751,10,5.9,1,,15,,,
2005,10,24,ECUADOR,ECUADOR:  BAEZA,-0.507,-77.745,35,4.8,,,,,,
2005,10,27,CHINA,CHINA:  GUANGXI PROVINCE,23.604,107.798,10,4.2,1,,1,,,
2005,10,31,PERU,PERU:  N,-5.852,-78.704,40,5.4,,,,,20,
2005,11,14,JAPAN,JAPAN:  EAST COAST HONSHU,38.107,144.896,11,7,,,,,,
2005,11,26,CHINA,"CHINA:  JIANGXI:  JIUJIANG, RUICHANG",29.695,115.689,10,5.2,16,,8000,,150000,
2005,11,26,TURKEY,TURKEY:  DOGANYOL,38.26,38.814,9,4.4,,,,,,
2005,11,27,IRAN,"IRAN:  QESHM, ZIRANG",26.774,55.858,10,6,13,,100,,,
2005,12,5,CONGO,CONGO:  KALEMIE,-6.224,29.83,22,6.8,6,,,,300,
2005,12,12,AFGHANISTAN,"AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN",36.357,71.093,225,6.5,5,,1,,100,
2005,12,14,INDIA,"INDIA:  JAUSARI, CHAMOLI, NANDPRAYAG",30.476,79.255,44,5.3,1,,4,,1,
2005,12,24,TURKEY,TURKEY:  AKHISAR,38.804,26.783,14,4.3,,,,,,
2006,1,1,JAPAN,JAPAN:  HONSHU:  S. OF,31.394,140.131,10,5.6,,,,,,
2006,1,8,GREECE,GREECE:  SOUTHERN,36.311,23.212,66,6.7,,,3,,,
2006,1,27,INDONESIA,INDONESIA:  BANDA SEA,-5.473,128.131,397,7.6,,,,,,
2006,2,14,INDIA,INDIA:  SIKKIM,27.382,88.388,30,5.3,2,,2,,,
2006,2,20,BULGARIA,GREECE-BULGARIA BORDER REGION,41.708,25.544,10,4.6,,,2,,,
2006,2,22,MOZAMBIQUE,MOZAMBIQUE,-21.324,33.583,11,7,4,,36,,294,
2006,2,23,BHUTAN,BHUTAN:  TASHIGANG,26.912,91.705,10,5.8,,,,,126,
2006,2,28,IRAN,IRAN:  SOUTHERN,28.12,56.865,18,6,,,6,,,
2006,3,7,INDIA,INDIA:  GUJARAT,23.777,70.899,10,5.5,,,7,,,
2006,3,10,PAKISTAN,PAKISTAN:  MIRPUR DISTRICT,33.129,73.887,10,4.9,1,,22,,,
2006,3,14,INDONESIA,INDONESIA:  SERAM,-3.595,127.214,30,6.7,4,,,,241,
2006,3,20,ALGERIA,ALGERIA:  NORTHERN,36.623,5.328,10,4.9,4,,9,,62,
2006,3,25,IRAN,IRAN:  SOUTHERN,27.574,55.685,18,5.9,1,,1,,,
2006,3,28,INDONESIA,INDONESIA:  N. SUMATRA: TAPAKTUAN,3.462,97.224,30,5,,,,,,
2006,3,31,IRAN,"IRAN:  WESTERN:  BORUJERD, DORUD",33.5,48.78,7,6.1,70,,1300,,,
2006,3,31,CHINA,"CHINA:  JILIN PROVINCE:  JILIN, SONGYUAN",44.624,124.122,10,4.9,,,,,,
2006,4,1,TAIWAN,TAIWAN:  T'AIT-TUNG,22.868,121.278,9,6.2,,,42,,,
2006,4,4,PAKISTAN,PAKISTAN:  BATGRAM,34.6,73.136,10,4.8,,,28,,,
2006,4,6,INDIA,INDIA:  GUJARAT,23.322,70.477,10,5.5,,,,,,
2006,4,11,GREECE,GREECE:  ZAKYNTHOS,37.64,20.92,18,5.5,,,,,,
2006,4,19,CHINA,CHINA:  TIBET (XIZANG PROVINCE),31.607,90.413,33,5.7,,,,,,
2006,4,20,RUSSIA,RUSSIA:  KORYAKSKIY,60.949,167.089,22,7.6,,,40,55,,
2006,5,3,TONGA,TONGA ISLANDS,-20.187,-174.123,55,7.9,,,1,,,
2006,5,4,PANAMA,PANAMA:  BOQUETE,8.898,-82.543,,4.5,,,,,,
2006,5,7,IRAN,IRAN:  ZARAND,30.79,56.7,14,4.1,,,70,,,
2006,5,12,INDONESIA,INDONESIA:  SUMATRA:  KALIANDAK,-5.575,105.395,17,5.5,,,,,,
2006,5,26,INDONESIA,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",-7.961,110.446,13,6.3,5749,,38568,3100,127000,
2006,6,3,IRAN,IRAN:  SOUTHERN:  QESHM,26.759,55.843,5,5.1,2,,4,,,
2006,6,3,TURKEY,TURKEY:  HAKKARI,37.605,43.787,10,4.1,,,,,,
2006,6,3,MALAWI,MALAWI:  SALIMA,-14.52,34.28,10,3.8,,,,,,
2006,6,11,JAPAN,JAPAN:  KYUSHU,33.129,131.141,140,6.3,,,8,,,
2006,6,13,ALBANIA,ALBANIA:  TEPELENE,40.27,19.96,10,4.5,,,1,,12,
2006,6,20,CHINA,CHINA:  GANSU PROVINCE,33.068,104.95,24,4.5,,,5,,,
2006,7,17,INDONESIA,INDONESIA:  JAVA,-9.254,107.411,34,7.7,802,,498,55,1623,
2006,7,22,CHINA,CHINA:  YANJIN,27.995,104.138,56,4.9,22,,106,,,
2006,7,29,TAJIKISTAN,TAJIKISTAN:  PANJ-QUMSANGIR,37.255,68.828,34,5.6,3,,19,,721,
2006,8,5,ARGENTINA,ARGENTINA:  MENDOZA,-33.131,-68.707,22,5.6,,,,,,
2006,8,18,TAJIKISTAN,TAJIKISTAN:  DUSHANBE (STALINABAD),38.246,69.22,10,4.7,,,,,,
2006,8,24,FRANCE,FRANCE,45.84,-0.14,5,4.3,,,,,,
2006,8,25,CHINA,CHINA:  SICHUAN PROVINCE,28.012,104.151,22,4.6,1,,31,,,
2006,9,10,MEXICO,GULF OF MEXICO,26.319,-86.606,14,5.8,,,,,,
2006,9,28,SAMOA,SAMOA ISLANDS,-16.592,-172.033,28,6.9,,,,,,
2006,9,29,TRINIDAD AND TOBAGO,TRINIDAD:  PORT-OF-SPAIN,10.876,-61.756,53,6.1,,,3,,1,
2006,9,29,TRINIDAD AND TOBAGO,TRINIDAD:  GASPARILLO,10.814,-61.758,52,5.5,1,,,,,
2006,10,15,USA,HAWAIIAN ISLANDS,19.878,-155.935,39,6.7,,,,73,,
2006,10,20,PERU,PERU:  CENTRAL,-13.457,-76.677,23,6.7,,,,,,
2006,10,23,JAPAN,JAPAN:  IZU ISLANDS,29.351,140.27,11,6.4,,,,,,
2006,10,27,CHINA,CHINA:  HUBEI,31.56,113.21,10,4.5,,,,,,
2006,11,3,CHINA,CHINA:  NEI MONGOL,43.469,119.558,10,4.7,,,,,5586,
2006,11,13,TAIWAN,TAIWAN REGION,20.656,119.997,14,5.2,,,,,,
2006,11,15,RUSSIA,RUSSIA:  KURIL ISLANDS,46.592,153.266,10,8.3,,,1,,,
2006,11,17,FRANCE,FRANCE:  PYRENEES,42.99,-0.05,10,4.7,,,,,,
2006,11,23,HUNGARY,HUNGARY:  BEREGDAROC,48.195,22.46,10,4.8,,,,,,
2006,11,23,CHINA,CHINA:  XINJIANG PROVINCE:  NORTH,44.229,83.524,20,4.7,,,,,60,
2006,11,24,INDONESIA,INDONESIA:  SULAWESI: PINRANG,-3.728,119.233,31,5.2,,,,,,
2006,11,29,INDONESIA,INDONESIA:  HALMAHERA:  MOROTAI,2.52,128.283,39,6.2,,,,,50,
2006,12,1,INDONESIA,INDONESIA:  SUMABAWA:  BIMA,-8.251,118.777,43,6.3,1,,14,,20,
2006,12,8,SWITZERLAND,SWITZERLAND:  BASEL,47.58,7.6,5,3.9,,,,,,
2006,12,12,THAILAND,THAILAND:  MAE RIM,18.901,98.916,10,4.6,,,,,5,
2006,12,17,INDONESIA,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",0.626,99.859,30,5.8,7,,100,,680,
2006,12,24,INDIA,INDIA:  RAJASTHAN,26.88,76.15,10,4.2,,,,,,
2006,12,25,KYRGYZSTAN,KYRGYZSTAN:  KOCHKOR,42.156,76.163,12,5.8,,,,,2410,
2006,12,26,TAIWAN,TAIWAN:  PINGTUNG,21.799,120.547,10,7,2,,40,,,
2006,12,31,HUNGARY,HUNGARY:  BUDAPEST,47.449,19.343,5,4.1,,,,,,
2007,1,8,KYRGYZSTAN,KYRGYZSTAN:  ISFARIA,39.803,70.311,18,6,,,,,187,
2007,1,9,CHINA,CHINA:  GANSU PROVINCE,37.021,103.911,20,4.5,,,,,2000,
2007,1,10,CHINA,CHINA:  GANSU PROVINCE,33.259,104.74,23,4.7,,,,,,
2007,1,13,RUSSIA,RUSSIA:  KURIL ISLANDS,46.243,154.524,10,8.1,,,,,,
2007,1,21,TURKEY,TURKEY:  E,39.592,42.863,3,5.1,,,2,,,
2007,1,21,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,1.065,126.282,22,7.5,4,,4,,,
2007,2,16,PHILIPPINES,PHILIPPINES:  MINDANAO,6.614,126.24,79,4.9,,,,,,
2007,2,21,TURKEY,"TURKEY:  DOGANKOY, PUTURGE, SIVRICE",38.318,39.267,10,5.7,,,,,,
2007,3,6,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN,-0.493,100.498,19,6.4,67,,826,,43719,
2007,3,6,COLOMBIA,"COLOMBIA:  CAUCA, SOTARA, PURACE,",2.082,-76.495,43,5,,,9,,9,
2007,3,6,IRAN,IRAN:  WESTERN:  DORUD,33.49,48.93,16,4.7,,,35,,,
2007,3,25,VANUATU,VANUATU ISLANDS,-20.617,169.357,34,7.1,,,,,,
2007,3,25,JAPAN,JAPAN:  HONSHU:  W COAST,37.336,136.588,8,6.7,1,,359,,13556,
2007,3,25,GREECE,"GREECE:  ARGOSTOLION, KEFALLINIA",38.34,20.42,15,5.8,,,,,,
2007,4,1,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.466,157.043,24,8.1,52,,,,2500,500
2007,4,13,MEXICO,"MEXICO:  GUERRERO, ATOYAC",17.302,-100.198,34,6,,,,,2,
2007,4,15,JAPAN,JAPAN:  HONSHU:  W,34.807,136.239,16,4.6,,,12,,63,
2007,4,16,ALBANIA,ALBANIA:  TIRANA,41.172,19.897,14,4.5,,,,,,
2007,4,21,CHILE,CHILE:  SOUTHERN,-45.243,-72.648,37,6.2,10,,,,,2
2007,4,28,UK,UNITED KINGDOM:  ENGLAND:  FOLKESTONE,51.085,1.009,10,4.6,,,1,,,
2007,5,8,USA,MONTANA:  SHERIDAN,45.394,-112.13,14,4.5,,,,,,
2007,5,16,LAOS,"LAOS:  BOKEO;  THAILAND:  CHIANG RAI, CHIAN SAEN",20.504,100.746,24,6.3,,,,,,
2007,5,29,INDONESIA,INDONESIA: LABUHA,-1.065,127.343,24,6.1,,,,,,
2007,6,2,CHINA,CHINA:  YUNNAN PROVINCE:  NING'ER,23.028,101.052,5,6.1,3,,329,310,,
2007,6,13,GUATEMALA,GUATEMALA:  GUATEMALA CITY,13.554,-90.618,23,6.7,,,,,,
2007,6,18,IRAN,IRAN:  QOM,34.437,50.833,5,5.5,,,,,,
2007,7,13,ECUADOR,ECUADOR:  ZARUMA,-3.987,-79.836,50,4.5,,,,,,
2007,7,16,JAPAN,JAPAN:  HONSHU:  W COAST,37.57,138.478,10,6.6,9,,1088,12500,,875
2007,7,20,CHINA,CHINA:  XINJIANG:  TEKES,42.913,82.378,10,5.6,,,,,2120,
2007,7,20,USA,CALIFORNIA:  MONTCLAIR,37.804,-122.193,5,4.2,,,,,,
2007,7,21,TAJIKISTAN,"TAJIKISTAN:  RASHT, ASHT",38.936,70.485,10,5.2,12,,,,,
2007,7,22,INDIA,"INDIA:  UTTARKASHI, CHAMOLI, MUZAFFARNAGAR",30.881,78.239,19,4.3,,,3,,,
2007,7,26,INDONESIA,INDONESIA:  MALUKU:  N,2.872,127.464,25,6.9,,,,,,
2007,8,1,VANUATU,VANUATU ISLANDS:  LUGANVILLE,-15.595,167.68,120,7.2,,,,,,
2007,8,2,RUSSIA,RUSSIA:  TATAR STRAIT,47.116,141.798,5,6.2,2,,12,,11,20
2007,8,2,USA,ALASKA:  ALEUTIAN ISLANDS,51.307,-179.971,21,6.7,,,,,,
2007,8,6,USA,UTAH:  HUNTINGTON,39.465,-111.237,2,4.2,9,,,,,
2007,8,8,INDONESIA,INDONESIA:  JAVA,-5.968,107.655,289,7.5,,,,,,
2007,8,15,PERU,"PERU:  ICA, PISCO, LIMA",-13.386,-76.603,39,8,514,,1090,,52154,23632
2007,8,17,USA,UTAH,39.464,-111.207,0,1.6,3,,6,,,
2007,8,20,INDIA,INDIA:  MAHARASHTRA:  SATARA,17.2,73.7,5,4.4,,,,,,
2007,8,25,IRAN,"IRAN:  HADJI ABAD, ORZUIYEH",28.154,56.652,10,5,,,4,,,
2007,9,2,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-11.61,165.762,35,7.2,,,,,,
2007,9,9,INDONESIA,INDONESIA:  SITUBONDO,-7.783,114.338,35,4.8,,,13,,,
2007,9,10,COLOMBIA,"COLOMBIA:  NARINO, EL CHARCO, ISCUANDE, LA TOLA",2.982,-77.967,31,6.8,,,5,,35,
2007,9,12,INDONESIA,INDONESIA:  SUMATRA,-4.438,101.367,34,8.4,25,,161,,56425,
2007,9,12,INDONESIA,INDONESIA:  SUMATRA,-2.625,100.841,35,7.9,,,,,,
2007,9,28,JAPAN,JAPAN:  VOLCANO ISLANDS,22.013,142.668,260,7.5,,,,,,
2007,9,30,NEW ZEALAND,NEW ZEALAND:  AUCKLAND ISLANDS,-49.418,163.954,10,7.4,,,,,,
2007,10,15,NEW ZEALAND,NEW ZEALAND:  SOUTH ISLAND:  FIORDLAND,-44.785,167.583,26,6.8,,,,,,
2007,10,26,PAKISTAN,PAKISTAN:  GHANCHE,35.304,76.753,10,4.8,1,,12,,,
2007,10,31,USA,CALIFORNIA:  SAN JOSE,37.434,-121.774,10,5.6,,,,,,
2007,11,6,INDIA,INDIA:  GUJARAT,21.181,70.724,10,5.1,1,,5,,,
2007,11,7,PHILIPPINES,PHILIPPINES:  BOHOL ISLAND:  MABINI,9.721,124.647,72,5.1,1,,,,,
2007,11,7,BANGLADESH,"BANGLADESH:  CHITTAGONG, BANDARBAN, RANGAMATI",22.15,92.388,29,5.1,,,10,,,
2007,11,14,CHILE,"CHILE:  TOCOPILLA, MARIA ELENA",-22.247,-69.89,40,7.7,2,,65,,,
2007,11,16,ECUADOR,PERU-ECUADOR:  GUAYAQUIL,-2.312,-77.838,123,6.8,,,,,,
2007,11,20,IRAN,"IRAN:  WESTERN:  QAL' EH-YE TOL, KHUZESTAN",31.68,49.93,7,4.8,,,30,,,
2007,11,25,INDONESIA,INDONESIA:  SUMBAWA ISLAND,-8.277,118.339,35,6.5,3,,,,,
2007,11,25,INDIA,"INDIA:  BADAUN, MEERUT, NOIDA, REWARI",28.555,77.057,10,4.7,,,,,,
2007,11,29,MARTINIQUE,MARTINIQUE,14.944,-61.274,156,7.4,1,,102,103,,
2007,12,9,BRAZIL,BRAZIL:  MINAS GERAIS,-15.048,-44.231,10,4.6,1,,6,,76,
2007,12,9,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-25.996,-177.514,153,7.8,,,,,,
2007,12,15,CHILE,"CHILE:  OFF CENTRAL COAST, VINA DEL MAR, VALPARAISO",-32.689,-71.695,25,5.9,,,4,,,
2007,12,20,NEW ZEALAND,NEW ZEALAND:  OFF COAST NORTH ISLAND,-39.011,178.291,20,6.6,1,,,,3,
2007,12,20,TURKEY,"TURKEY:  CENTRAL:  YENIYAPAN, ABAZLAR, SUYUGUZEL",39.417,33.212,10,5.7,,,,,,
2007,12,26,TURKEY,TURKEY:  CENTRAL:  ANKARA,39.446,33.162,8,5.6,,,,,2214,
2008,1,1,KYRGYZSTAN,KYRGYZSTAN:  OSH,40.288,72.985,6,5.6,,,,,5385,
2008,1,5,GUATEMALA,"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA",14.129,-91.479,66,5.6,,,,,,
2008,1,7,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI,",-0.795,134.012,12,5.9,,,6,,,22
2008,1,9,ALGERIA,ALGERIA:  ORAN,35.616,-0.57,10,4.6,1,,,,,
