Year,Mo,Dy,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
2001,6,23,PERU,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,33,8.4,103,138,2713,200,25399,
2001,6,25,TURKEY,TURKEY:  OSMANIYE,37.238,36.206,5,5.5,,,130,,,66
2001,7,5,PERU,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,62,6.6,,,,,300,
2001,7,7,PERU,"PERU:  AREQUIPA, ARICA",-17.543,-72.077,33,7.6,1,,30,,200,
2001,7,14,CHINA,CHINA:  YUNNAN PROVINCE:  JIANGCHUAN,24.455,102.66,33,4.3,,,2,,150,
2001,7,26,GREECE,GREECE:  SKYROS,39.059,24.244,10,6.5,,,,,,100
2001,8,9,PERU,PERU:  ANTABAMA,-14.258,-72.683,33,5.8,4,,15,,,
2001,9,9,USA,CALIFORNIA:  LOS ANGELES,34.059,-118.387,5,4.2,,,,,,
2001,10,12,CANADA,CANADA:  QUEEN CHARLOTTE ISLANDS,52.63,-132.2,20,6.1,,,,,,
2001,10,12,USA TERRITORY,GUAM,12.686,144.98,37,7,,,1,,,
2001,10,19,INDONESIA,INDONESIA:  BANDA SEA,-4.102,123.907,33,7.5,,,,,,
2001,10,27,CHINA,CHINA:  YUNNAN PROVINCE:  YONGSHENG,26.316,100.648,10,5.6,1,,220,,3400,
2001,11,14,CHINA,CHINA:  QINGHAI PROVINCE:  XIDATAN,35.946,90.541,10,7.8,,,,,,
2001,12,18,TAIWAN,TAIWAN,23.954,122.734,14,6.8,,,,,,
2001,12,19,BANGLADESH,BANGLADESH:  DHAKA,23.632,90.376,10,4.5,,,100,,,
2002,1,2,VANUATU,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,21,7.2,,,,,,
2002,1,9,TAJIKISTAN,TAJIKISTAN:  ROGHUN,38.673,69.902,33,5.3,3,,50,,,209
2002,1,10,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  AITAPE,-3.212,142.427,11,6.7,1,,,,200,
2002,1,14,CHILE,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,33,5.6,,,,,,
2002,1,17,RWANDA,RWANDA:  GISENYI,-1.684,29.077,15,4.7,1001,,400,,307,
2002,1,30,MEXICO,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,109,5.9,,,,,,
2002,2,3,TURKEY,TURKEY:  AFYON,38.573,31.271,5,6.5,44,,318,,,622
2002,2,3,TAJIKISTAN,TAJIKISTAN:  ROGHUN,38.773,69.924,44,4.9,,,,,,
2002,2,17,IRAN,IRAN:  BAGHAN,28.093,51.755,33,5.4,1,,30,,,
2002,2,22,MEXICO,"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,7,5.5,,,,,,
2002,3,3,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,226,7.4,166,,,,300,400
2002,3,5,PHILIPPINES,PHILIPPINES:  MINDANAO,6.033,124.249,31,7.5,15,,100,1.714,,800
2002,3,25,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.062,69.315,8,6.1,1000,,200,,1500,
2002,3,26,JAPAN,JAPAN:  RYUKYU ISLANDS,23.346,124.09,33,6.4,,,,,,
2002,3,31,TAIWAN,TAIWAN:  TAIPEI,24.279,122.179,33,7.1,5,,200,,100,
2002,4,1,CHILE,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,71,6.4,,,,,,
2002,4,12,TAJIKISTAN,TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,39.959,69.417,10,5.9,50,,150,,160,250
2002,4,18,CHILE,"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,62,6.6,,,19,,34,575
2002,4,20,USA,"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,11,5.2,,,,,,
2002,4,24,SERBIA,BALKANS NW:  KOSOVO; MACEDONIA:  N,42.436,21.466,10,5.7,1,,60,,,
2002,4,24,IRAN,IRAN:  WESTERN:  KERMANSHAH,34.642,47.4,33,5.4,2,,56,,,
2002,4,25,GEORGIA,GEORGIA:  TBILISI,41.765,44.96,10,4.3,5,,52,,,2400
2002,4,26,USA TERRITORY,GUAM,13.088,144.619,86,7.1,,,5,,,
2002,5,18,TANZANIA,TANZANIA:  BUNDA,-2.907,33.733,10,5.5,2,,,,690,700
2002,5,28,ARGENTINA,"ARGENTINA:  AMINGA, ANILLACO, AGUA BLANCA, CHUQUIS",-28.937,-66.797,22,6,,,27,,40,
2002,6,20,BANGLADESH,"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",25.842,88.932,40,4.5,,,55,,,
2002,6,22,IRAN,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,10,6.5,261,,1300,300,,
2002,7,22,GERMANY,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,17,4.8,,,,,,
2002,7,31,PANAMA,"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL",7.929,-82.793,10,6.5,,,11,,,
2002,8,8,CHINA,CHINA:  SICHUAN PROVINCE:  RULONG,30.916,99.927,33,5.3,,,,,8,
2002,8,14,USA TERRITORY,NORTHERN MARIANA ISLANDS:  SAIPAN,14.101,146.199,30,6.5,,,,,,
2002,8,15,INDONESIA,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,10,6.2,48,,,,,200
2002,8,19,FIJI,FIJI ISLANDS,-21.696,-179.513,580,7.7,,,,,,
2002,8,19,FIJI,FIJI ISLANDS,-23.884,178.495,675,7.7,,,,,,
2002,8,24,EGYPT,EGYPT:  CAIRO,30.2,31.41,10,4.4,,,,,,44
2002,9,2,IRAN,"IRAN: KAK, RAZAN, SIZAN",35.701,48.838,10,5.2,,,,,,
2002,9,5,KYRGYZSTAN,KYRGYZSTAN,39.77,72.007,32,5.5,,,,,,
2002,9,6,ITALY,ITALY:  SICILY:  PALERMO,38.381,13.701,5,6,2,,20,500,,
2002,9,8,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,13,7.6,4,,70,,,873
2002,9,13,INDIA,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",13.036,93.068,21,6.5,2,,,,40,
2002,9,20,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,10,6.4,,,,,,31
2002,9,22,UK,"UNITED KINGDOM:  MANSFIELD, DUDLEY",52.52,-2.15,9,4.8,,,1,,,
2002,9,25,MEXICO,MEXICO:  ACAPULCO,16.87,-100.113,6,5.3,,,2,,,
2002,9,25,IRAN,IRAN:  MASJED-E SOLEYMAN,31.995,49.329,10,5.6,,,5,,,
2002,9,30,FRANCE,"FRANCE:  HENNEBONT, LANGUIDIC, LORIENT, TREMOREL",47.832,-3.207,10,4.2,,,,,,
2002,10,10,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,10,7.6,8,,632,,1000,900
2002,10,23,USA,"ALASKA:  CANTWELL, DENALI NATL PARK",63.514,-147.912,4,6.7,,,,,,
2002,10,24,CONGO,"CONGO: GOMA, LWIRO, BUKAVU; RWANDA:  MUGERA, KIGALI",-1.884,29.004,11,6.2,2,,,,,
2002,10,29,ITALY,ITALY:  SICILY:  SANTA VENERINA,37.67,15.267,10,4.3,,,9,,,
2002,10,31,ITALY,"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789,14.872,10,5.7,30,,135,796,,
2002,11,1,PAKISTAN,PAKISTAN:  GILGIT,35.517,74.654,33,5.4,11,,40,,,1000
2002,11,2,INDONESIA,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,30,7.3,3,,65,,,994
2002,11,3,USA,"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,5,7.9,,,1,56,,
2002,11,20,PAKISTAN,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414,74.515,33,6.3,19,,40,,100,1256
2002,11,27,VANUATU,VANUATU ISLANDS: MERE LAVA ISLAND,-14.49,167.827,33,5.9,,,3,,,100
2002,12,2,GREECE,"GREECE:  MEGALOPOLIS, VARTHOLOMION",37.747,21.087,10,5.7,,,17,,8,100
2002,12,14,CHINA,CHINA:  GANSU PROVINCE:  YUMNE,39.736,97.443,22,5.5,2,,,,13380,
2002,12,24,IRAN,IRAN:  KERMANSHAH,34.594,47.454,33,5.2,,,15,,3000,
2002,12,25,CHINA,CHINA:  XINJIANG:  WUQIA,39.57,75.254,10,5.7,,,,,,
2002,12,25,AFGHANISTAN,AFGHANISTAN:  JALALABAD,35.704,69.868,91,5.5,,,,,,
2003,1,11,IRAN,"IRAN:  KAZERUN, NURABAD",29.59,51.474,33,5.2,,,,,650,1350
2003,1,20,SOLOMON ISLANDS,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,33,7.3,,,,,,
2003,1,22,MEXICO,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,24,7.5,29,,300,,2005,6615
2003,1,23,INDONESIA,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524,33,5.5,,,2,,,500
2003,1,26,ITALY,"ITALY:  SPINELLO, SANTA SOFIA, BAGNO DI ROMAGNA",43.883,11.96,7,4.7,,,,,,
2003,1,27,TURKEY,"TURKEY:  SAGLAMTAS, PULUMUR",39.5,39.878,10,6.1,1,,,,,
2003,2,13,CHINA,CHINA:  N. XINJIANG:  URUMQI,43.897,85.923,24,5.3,,,,,,
2003,2,15,PHILIPPINES,PHILIPPINES: LUZON:  DIMASALANG,12.171,123.921,10,5.8,,,,,,
2003,2,15,PHILIPPINES,"PHILIPPINES: MASBATE, DIMASALANG",12.168,124.079,10,6.3,,,,,,
2003,2,22,USA,CALIFORNIA:  BIG BEAR CITY,34.31,-116.848,1,5.2,,,,,,
2003,2,22,FRANCE,"FRANCE:  BACCARAT, COLMAR, THANN; GERMANY:  EDIGEN",48.342,6.57,10,5,,,,,,
2003,2,24,CHINA,CHINA:  S. XINJIANG:  BACHU,39.61,77.23,11,6.3,261,,4000,,71000,
2003,2,25,CHINA,CHINA:  S. XINJIANG:  BACHU,39.483,77.393,10,5.4,5,,,,,
2003,3,21,INDONESIA,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-6.983,108.468,33,4.6,,,,,,800
2003,3,22,GERMANY,GERMANY:  ALBSTADT,48.21,9,6,4.7,,,,,,
2003,3,25,INDONESIA,INDONESIA:  FLORES:  REO,-8.294,120.743,33,6.5,4,,20,,,
2003,3,25,BHUTAN,BHUTAN:  PHUENTSHOLING,27.264,89.331,47,5.5,,,,,,
2003,4,10,TURKEY,"TURKEY:  IZMIR, SEFERIHISAR",38.221,26.958,10,5.7,,,90,,,
2003,4,11,ITALY,ITALY: ALESSANDRIA,44.792,8.892,4,5,,,2,561,,
2003,4,17,CHINA,CHINA:  QINGHAI PROVINCE:  DELINGHA,37.529,96.476,14,6.4,,,,,45,
2003,4,29,USA,"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,20,4.6,,,,,,
2003,5,1,TURKEY,TURKEY:  BINGOL,39.007,40.464,10,6.4,177,,521,,718,2593
2003,5,4,CHINA,CHINA:  S. XINJIANG:  YOPURGA,39.43,77.219,10,5.8,1,,3,,1600,
2003,5,21,ALGERIA,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,12,6.8,2287,800,11000,5000,19000,163000
2003,5,26,JAPAN,"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,68,7,,,143,233,,720
2003,5,26,INDONESIA,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,31,7,1,,7,,28,20
2003,5,27,ALGERIA,"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",36.939,3.578,8,5.7,9,,200,,,
2003,6,6,USA,KENTUCKY:  BARDWELL,36.87,-88.98,3,4,,,,,,
2003,6,9,GREECE,"GREECE:  GONNOI, LARISA",39.893,22.309,18,5.2,,,,,,50
2003,6,20,CHILE,"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",-30.608,-71.637,33,6.8,,,1,,,
2003,7,3,IRAN,"IRAN:  NORTHEASTERN: YAKHAK, BASHIRABAD, BUTEHGAZ",35.476,60.784,41,5.2,,,,,,90
2003,7,10,IRAN,IRAN:  SOUTHERN: GAJJIABAD,28.355,54.169,10,5.8,1,,25,21.6,3500,
2003,7,15,INDIAN OCEAN,INDIAN OCEAN:  FELT IN MALDIVES,-2.598,68.382,10,7.6,,,,,,
2003,7,21,CHINA,CHINA:  YUNNAN PROVINCE,25.975,101.29,10,5.9,16,,584,75,264878,
2003,7,25,JAPAN,"JAPAN:  HONSHU:  MIYAGI, IWATE",38.432,141.003,10,5.5,,,569,411,,1025
2003,7,26,TURKEY,TURKEY:  WESTERN:  BULDAN,38.111,28.887,10,4.5,,,,,,48
2003,7,26,TURKEY,TURKEY:  WESTERN:  BULDAN,38.019,28.927,10,5.4,,,10,,1,
2003,7,26,BANGLADESH,BANGLADESH:  RANGAMATI,22.854,92.306,10,5.7,2,,25,,500,
2003,8,4,ANTARCTICA,SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS,-60.532,-43.411,10,7.6,,,,,,
2003,8,11,INDONESIA,INDONESIA:  HALMAHERA:  WASILE,1.142,128.152,10,6,,,,,,200
2003,8,13,PANAMA,"PANAMA:  COLON, PANAMA CITY",9.355,-79.941,54,5.4,,,,,,
2003,8,14,GREECE,"GREECE:  LEFKADA, PREVEZA",39.16,20.605,10,6.3,,,50,,,
2003,8,16,CHINA,"CHINA:  NEI MONGOL:  LINDONG, TIANSHAN",43.77,119.643,24,5.4,4,,1000,,7900,
2003,8,18,CHINA,"CHINA:  TIBET (XIZANG PROVINCE): BOMI,MEDOG,NYINGCHI",29.573,95.605,33,5.5,,,,,,
2003,8,21,NEW ZEALAND,"NEW ZEALAND:  DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND",-45.104,167.144,28,7.2,,,,,,
2003,9,14,ITALY,"ITALY:  LOIANO, MONGHIDORO, MONZUNO",44.329,11.45,10,5.3,,,,,,10
2003,9,20,JAPAN,JAPAN:  HONSHU:  TOKYO,34.998,140.172,52,5.7,,,7,,,
2003,9,21,MYANMAR (BURMA),MYANMAR (BURMA):  TAUNGDWINGYI; THAILAND:  BANGKOK,19.917,95.672,10,6.6,,,,,,
2003,9,22,DOMINICAN REPUBLIC,"DOMINICAN REPUBLIC:  PUERTO PLATA, SANTIAGO",19.777,-70.673,10,6.4,3,,15,,,
2003,9,25,JAPAN,JAPAN:  HOKKAIDO,41.815,143.91,27,8.3,2,,849,90,,
2003,9,27,RUSSIA,"RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,16,7.3,3,,5,10.6,300,
2003,9,29,RUSSIA,RUSSIA:  KOSH-AGACH,50,87.89,10,4.4,,,,,,
2003,9,29,NEW ZEALAND,NEW ZEALAND:  CHRISTCHURCH,-43.34,173.04,32,4.8,,,,,,
2003,10,1,RUSSIA,"RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",50.211,87.721,10,6.7,,,,,,
2003,10,15,JAPAN,JAPAN:  NEAR S COAST HONSHU:  ATSUGI,35.457,139.871,78,5.2,,,,,,
2003,10,16,DOMINICAN REPUBLIC,"DOMINICAN REPUBLIC:   MOCA, SANTIAGO",19.761,-70.693,10,4.5,,,,,,
2003,10,16,CHINA,CHINA:  YUNNAN PROVINCE:  DAYAO,25.954,101.254,33,5.6,3,,32,,12000,
2003,10,25,CHINA,"CHINA:  GANSU PROVINCE:  MINLE, SHANDAN",38.4,100.951,10,5.8,9,,43,40,10000,
2003,10,31,JAPAN,JAPAN:  EAST COAST HONSHU,37.812,142.619,10,7,,,,,,
2003,11,13,CHINA,"CHINA:  GANSU PROVINCE:  JONE, LINTAN, MINXIAN",34.712,103.834,10,5.1,1,,30,,10,
2003,11,14,CHINA,"CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG",27.372,103.971,33,5.6,4,,65,,600,
2003,11,17,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,33,7.8,,,,,,
2003,11,18,PHILIPPINES,PHILIPPINES:  SAMAR:  CAN-AVID,12.025,125.416,35,6.5,1,,21,,1,
2003,11,26,CHINA,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.283,103.753,33,4.7,,,4,,2000,
2003,12,1,CHINA,CHINA:  XINJIANG:  ZHAOSU,42.905,80.515,10,6,11,,47,,769,
2003,12,5,INDONESIA,"INDONESIA:  FLORES, RUTENG",-8.137,120.524,33,4.9,,,,,,
2003,12,10,TAIWAN,"TAIWAN:  T'AI-TUNG, KAO-HSIUN",23.039,121.362,10,6.8,,,1,,,
2003,12,11,IRAN,IRAN:  WESTERN:  MASJED-E- SOLEYMAN,31.953,49.209,33,5,,,5,,1,
2003,12,17,BULGARIA,BULGARIA: POVADIYA,43.083,27.486,34,4.4,,,,,10,150
2003,12,22,USA,"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",35.706,-121.102,8,6.6,2,,40,300,,
2003,12,25,PANAMA,PANAMA-COSTA RICA:  PUERTO ARMUELLES,8.416,-82.824,33,6.5,2,,75,,,
2003,12,26,IRAN,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995,58.311,10,6.6,31000,,30000,500,,
2003,12,27,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-22.015,169.766,10,7.3,,,,,,
2004,1,1,INDONESIA,"INDONESIA:  BALI, LOMBOK",-8.31,115.788,45,5.8,1,,29,12,6000,
2004,1,1,MEXICO,"MEXICO:  GUERRERO, MEXICO CITY",17.488,-101.303,29,6.1,,,,,,
2004,1,10,SLOVAKIA,SLOVAKIA:  SLOVENSKO L'UPCA,48.758,19.217,5,2.2,,,,,,
2004,1,10,ALGERIA,"ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES",36.852,3.418,10,4.4,,,300,,,
2004,1,14,IRAN,IRAN:  SOUTHERN:  FIRUZABAD,27.695,52.397,12,5.2,,,,,,
2004,1,28,INDONESIA,INDONESIA:  SERAM,-3.12,127.4,17,6.7,,,,,,
2004,2,4,PANAMA,PANAMA-COSTA RICA:  CHIRIQUI,8.358,-82.877,29,6.1,,,4,,,
2004,2,5,INDONESIA,INDONESIA:  NABIRE,-3.615,135.538,17,7,37,,682,1,2678,
2004,2,7,INDONESIA,INDONESIA:  NABIRE,-4.003,135.023,10,7.3,,,,,,
2004,2,11,JORDAN,"JORDAN:  MA'IN; ISRAEL:  JERUSALEM, PETAH-TIQWA",31.675,35.551,27,5.3,,,4,,,
2004,2,14,PAKISTAN,"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",34.774,73.216,11,5.4,24,,40,,1420,5379
2004,2,16,INDONESIA,INDONESIA:  SUMATRA:  PADANGPANJANG,-0.466,100.655,56,5.1,5,,7,,,100
2004,2,22,INDONESIA,INDONESIA:  SUMATRA:  PESISIR SELATAN,-1.559,100.488,42,6,,,1,,,
2004,2,24,BURUNDI,BURUNDI:  RUYAGA,-3.393,29.558,10,4.7,3,,,,24,
2004,2,24,MOROCCO,"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH",35.142,-3.997,0,6.4,628,,926,400,2539,
2004,3,1,GREECE,GREECE:  SOUTHERN:  KALAMATA,37.136,22.116,9,5.2,,,,,,
2004,3,24,CHINA,"CHINA:  NEI MONGOL:  BAYAN UL HOT, ULIASTAI",45.382,118.256,19,5.4,,,100,74,38000,
2004,3,25,TURKEY,TURKEY:  ERZURUM,39.93,40.812,,5.6,10,,46,,45,
2004,3,28,TURKEY,TURKEY:  ASKALE,39.847,40.874,5,5.6,,,12,,50,
2004,4,5,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.512,71.029,187,6.5,3,,5,,,
2004,4,9,INDONESIA,INDONESIA:  SUMATRA:  PADANG,-1.549,100.54,66,5.4,,,,,,
2004,4,16,INDONESIA,INDONESIA:  BALI,-8.669,114.65,96,5.5,,,,,,
2004,4,23,INDONESIA,INDONESIA:  TIMOR: KUPANG,-9.362,122.839,66,6.7,,,,,,
2004,5,1,TAIWAN,TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK,24.081,121.611,45,5.2,2,,1,,,
2004,5,3,CHILE,CHILE: CANETE,-37.695,-73.406,21,6.6,,,,,,
2004,5,4,CHINA,CHINA:  QINGHAI PROVINCE:  DELINGHA,37.506,96.758,14,5.4,,,,,,3100
2004,5,8,IRAN,IRAN:  KAZERUN,29.881,51.474,67,5,,,,,4,6
