Year,Mo,Dy,Earthquake Magnitude,Vol,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
2005,3,28,8.6,,INDONESIA,INDONESIA,2.085,97.108,4.2,74,,,,1319,,340,,300,
2005,4,10,6.7,,INDONESIA,KEPULAUAN MENTAWAI,-1.644,99.607,0.4,1,,,,,,,,,
2005,6,15,7.2,,USA,N. CALIFORNIA,41.301,-125.97,0.1,5,,,,,,,,,
2005,8,16,7.2,,JAPAN,E. COAST HONSHU ISLAND,38.276,142.039,0.05,1,,,,,,56,,1,
2005,11,14,7,,JAPAN,E. COAST HONSHU ISLAND,38.107,144.896,0.42,1,,,,,,,,,
2005,12,9,,,CANADA,BRITISH COLUMBIA,,,0.08,14,,,,,,,,,
2006,1,1,5.6,7540,JAPAN,S. OF HONSHU ISLAND,31.394,140.131,,0,,,,,,,,,
2006,3,14,6.7,,INDONESIA,SERAM ISLAND,-3.595,127.214,3.5,1,,,,4,,,1,241,
2006,5,3,8,,TONGA,TONGA,-20.187,-174.123,0.27,55,,,,,,1,,,
2006,5,20,,4623,MONTSERRAT,SOUFRIERE HILLS VOLCANO,16.722,-62.18,1,4,,,,,,,,,
2006,6,15,,,SPAIN,"CIUTADELLA, MENORCA ISLAND",40,3.83,6,1,,,,,,,33,,
2006,7,17,7.7,,INDONESIA,SOUTH OF JAVA,-9.254,107.411,20.9,211,8.1,,,802,,498,55,1623,
2006,8,27,,,SOUTH KOREA,YELLOW SEA,,,,1,,,,1,,,,,
2006,9,28,6.9,,SAMOA,SAMOA ISLANDS,-16.592,-172.033,0.08,1,,,,,,,,,
2006,10,15,6.7,,USA,HAWAII,19.878,-155.935,0.1,1,,,,,,,,,
2006,10,23,6.4,,JAPAN,"IZU ISLANDS, JAPAN",29.351,140.27,0.16,5,,,,,,,,,
2006,11,13,5.2,,TAIWAN,SOUTH CHINA SEA,20.656,119.997,0.15,1,,,,,,,,,
2006,11,15,8.3,,RUSSIA,S. KURIL ISLANDS,46.592,153.266,21.9,261,,,,,,1,,,
2006,12,26,7,,TAIWAN,TAIWAN,21.799,120.547,0.12,7,,,,2,,40,,,
2007,1,13,8.1,,RUSSIA,S. KURIL ISLANDS,46.243,154.524,0.4,46,,,,,,,,,
2007,3,25,7.1,,VANUATU,VANUATU ISLANDS,-20.617,169.357,0.08,2,,,,,,,,,
2007,3,25,6.7,,JAPAN,HONSHU: W COAST,37.336,136.588,0.1,3,,,,1,,359,,13556,
2007,3,31,,,SOUTH KOREA,YELLOW SEA,,,1.65,2,,,,4,,,2,,
2007,4,1,8.1,,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.46,157.044,12.1,247,,,,52,,,,2500,500
2007,4,21,6.2,,CHILE,SOUTHERN CHILE,-45.285,-72.606,50,7,,,,10,,,,,2
2007,5,7,,,BULGARIA,BLACK SEA,43,29,3,2,,,,,,,,,
2007,5,19,,7524,PAPUA NEW GUINEA,"RITTER ISLAND, PAPUA NEW GUINEA",-5.52,148.121,10,2,,,,,,,,,
2007,6,15,,,CHINA,"DAYANTANG, ENSHI",30.394,110.16,50,8,,,,8,,,,15,
2007,7,16,6.6,,JAPAN,HONSHU: W COAST,37.57,138.478,,1,,,,9,,1088,,875,
2007,8,2,6.2,,RUSSIA,TATAR STRAIT,47.116,141.798,3.2,18,,,,2,,12,,11,20
2007,8,2,6.7,,USA,"ALEUTIAN ISLANDS, AK",51.307,-179.971,0.03,1,,,,,,,,,
2007,8,15,8,,PERU,S. PERU,-13.386,-76.603,10.05,135,,,,514,,1090,,52154,23632
2007,9,2,7.2,,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.61,165.762,0.05,2,,,,,,,,,
2007,9,12,8.4,,INDONESIA,SUMATRA,-4.438,101.367,5,56,,,,25,,161,,56425,
2007,9,30,7.4,,NEW ZEALAND,AUCKLAND ISLANDS,-49.418,163.954,0.35,8,,,,,,,,,
2007,11,14,7.7,,CHILE,NORTHERN CHILE,-22.247,-69.89,0.28,6,,,,2,,65,,,
2007,11,29,7.4,,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE,14.944,-61.274,,0,,,,,,,,,
2007,12,4,,,CANADA,"CHEHALIS LAKE, CHILLIWACK",49.475,-121.847,38,1,,,,,,,,,
2007,12,9,7.8,,KERMADEC ISLANDS,KERMADEC ISLANDS,-25.996,-177.514,0.03,1,,,,,,,,,
2008,2,25,6.5,,INDONESIA,SUMATRA,-2.486,99.972,0.12,1,,,,,,,,,
2008,4,9,7.3,,NEW CALEDONIA,LOYALTY ISLANDS,-20.071,168.892,0.16,1,,,,,,,,,
2008,4,28,6.4,,VANUATU,VANUATU ISLANDS,-19.941,168.953,0.03,2,,,,,,,,,
2008,5,4,,,SOUTH KOREA,YELLOW SEA,,,1.3,2,,,,9,,15,,,
2008,5,12,7.9,,CHINA,SICHUAN PROVINCE,30.98,103.396,,1,,,,87652,,374171,86000,5360000,
2008,6,13,6.9,,JAPAN,"ARATOZAWA, JAPAN",39.03,140.881,2.5,0,,,,23,,357,,,614
2008,7,19,6.9,,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2,3,,,,,,,,,
2008,8,8,,4924,USA,"KASATOCHI VOLCANO, ALEUTIAN IS, AK",52.18,-175.5,0.19,2,,,,,,,,,
2008,8,20,,,SOUTH AFRICA,SOUTHERN ATLANTIC OCEAN,-28.5,13.2,2.55,2,,,,,,,,,
2008,9,11,6.8,,JAPAN,HOKKAIDO ISLAND,41.892,143.754,0.09,1,,,,6,,77,,,1000
2008,10,28,,,USA,MAINE,43.8,-69.7,3.6,5,,,,,,,0.02,,
2008,11,16,7.3,,INDONESIA,SULAWESI,1.271,122.091,0.13,3,,,,6,,77,,,1000
2008,11,23,,,CHINA,"WU GORGE, WUSHAN COUNTY",31.065,109.92,13.1,1,,,,,,,0.746,,
2009,1,3,7.6,,INDONESIA,NEAR NORTH COAST,-0.414,132.885,0.39,24,,,,5,,250,,,840
2009,1,3,7.3,,INDONESIA,NEAR NORTH COAST,-0.691,133.305,,0,,,,,,,,,
2009,1,15,7.4,,RUSSIA,KAMCHATKA,46.857,155.154,0.11,11,,,,,,,,,
2009,1,16,,,USA,"COLUMBIA RIVER VALLEY, WA",,,9,1,,,,,,,,,
2009,2,11,7.2,,INDONESIA,CELEBES SEA,3.884,126.397,0.13,1,,,,,,64,,,597
2009,2,24,,,EAST CHINA SEA,E. CHINA SEA-S.JAPAN,,,1.45,6,,,,,,,,,
2009,3,19,7.6,,TONGA,TONGA,-23.046,-174.659,0.15,27,,,,,,,,,
2009,5,28,7.3,,HONDURAS,OFF COAST OF HONDURAS,16.72,-86.236,4,2,,,,7,,40,100,135,25
2009,7,1,6.4,,GREECE,CRETE,34.164,25.471,0.3,3,,,,,,,,,
2009,7,15,7.8,,NEW ZEALAND,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,0.47,10,,,,,,,,,
2009,7,20,,,CHINA,"XIAOWAN RESERVOIR, YUNNAN PROVINCE",24.75,100,30,0,,,,2,12,,,,
2009,8,10,7.5,,INDIA,ANDAMAN ISLANDS,14.099,92.888,0.01,1,,,,,,,,,
2009,8,10,6.4,,JAPAN,HONSHU: S COAST,34.743,138.264,0.6,5,,,,1,,123,,5192,
2009,8,16,6.7,,INDONESIA,SUMATRA,-1.479,99.49,0.18,1,,,,,,9,,,
2009,8,25,,,USA,"COLUMBIA RIVER VALLEY, WA",,,,1,,,,,,,,,
2009,9,2,7,,INDONESIA,JAVA SEA,-7.782,107.297,0.4,2,,,,81,,1297,,,54000
2009,9,29,8.1,,SAMOA,SAMOA ISLANDS,-15.489,-172.095,22.35,618,,,,192,,7,285,,
2009,9,30,7.5,,INDONESIA,SUMATRA,-0.72,99.867,0.27,1,,,,1117,,1214,2200,,181665
2009,10,7,7.6,,VANUATU,VANUATU ISLANDS,-13.006,166.51,0.29,37,,,,,,,,,
2010,1,2,,,SOUTH KOREA,CHEJU (JEJU) STRAIT,,,,0,,,,1,,,,,
2010,1,3,6.6,,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.743,157.477,0.01,1,,,,,,,,,
2010,1,3,7.1,,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.799,157.346,7.52,51,,,,,,,,16,60
2010,1,5,6.8,,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.019,157.551,0.03,1,,,,,,,,,
2010,1,12,7,,HAITI,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,3.21,25,,,,316000,,300000,8000,97294,188383
2010,2,26,7,,JAPAN,RYUKYU ISLANDS,25.93,128.425,0.1,2,,,,,,,,,
2010,2,27,8.8,,CHILE,CENTRAL CHILE,-36.122,-72.898,29,684,,,,558,,12000,30000,,500000
2010,3,11,6.9,,CHILE,CENTRAL CHILE,-34.29,-71.891,0.14,2,,,,,,,,,
2010,4,6,7.8,,INDONESIA,SUMATRA,2.383,97.048,0.44,6,,,,,,,,,
2010,4,13,,,PERU,"513 LAKE, HUALCAN GLACIER",-9.282,-77.645,23,1,,,,1,,,,50,
2010,4,13,,,COOK ISLANDS,"MANGAIA ISLAND, COOK ISLANDS",-21.955,-157.92,,1,,,,,,,,,
2010,5,29,,5184,USA TERRITORY,"SOUTH OF SARIGAN IS, N. MARIANA IS",16.708,145.97,0.04,1,,,,,,,,,
2010,6,12,7.5,,INDIA,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,2,,,,,,,,,
2010,8,10,7.2,,VANUATU,VANUATU ISLANDS,-17.541,168.069,0.23,1,,,,,,,,,
2010,8,13,6.9,,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.484,141.476,0.07,1,,,,,,,,,
2010,10,25,7.8,,INDONESIA,SUMATRA,-3.487,100.082,16.9,358,,,,431,,,39,700,
2010,12,21,7.4,,JAPAN,BONIN ISLANDS,26.901,143.698,0.13,4,,,,,,,,,
2010,12,25,7.3,,VANUATU,VANUATU ISLANDS,-19.702,167.947,4.1,12,,,,,,4,,,
2011,1,9,6.5,,VANUATU,VANUATU ISLANDS,-19.157,168.311,0.03,1,,,,,,,,,
2011,2,11,6.8,,CHILE,CENTRAL CHILE,-36.474,-73.125,0.15,1,,,,,,,,,
2011,2,17,,,NORWAY,SVALBARD,78.37,16.62,0.3,0,,,,,,,,,
2011,2,21,6.1,,NEW ZEALAND,SOUTH ISLAND,-43.583,172.68,3.5,1,,,,185,,1500,15000,100000,
2011,3,9,7.5,,JAPAN,HONSHU ISLAND,38.435,142.842,0.6,11,,,,,,,,,
2011,3,11,9.1,,JAPAN,HONSHU ISLAND,38.297,142.373,39.26,6418,,,,18428,,6167,220136.6,123661,280920
2011,4,7,7.1,,JAPAN,E. COAST HONSHU ISLAND,38.276,141.588,0.08,1,,,,3,,132,,,
2011,5,10,6.8,,NEW CALEDONIA,LOYALTY ISLANDS,-20.244,168.226,0.03,1,,,,,,,,,
2011,6,24,7.3,,USA,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,0.1,7,,,,,,,,,
2011,6,27,,,UK,"PLYMOUTH, ENGLAND",50.5,-3,0.4,4,,,,,,,,,
2011,7,6,7.6,,NEW ZEALAND,KERMADEC ISLANDS,-29.539,-176.34,1.2,24,,,,,,,,,
2011,7,10,7,,JAPAN,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09,1,,,,,,,,,
2011,7,30,,,NORWAY,"LYSEFJOREN, WESTERN NORWAY",59.05,6.64,1.5,1,,,,,,,,,
2011,8,6,,,NORWAY,"LYSEFJOREN, WESTERN NORWAY",59.05,6.64,,0,,,,,,,,,
2011,8,20,7.1,,VANUATU,VANUATU ISLANDS,-18.365,168.143,0.19,4,,,,,,,,,
2011,8,20,7,,VANUATU,VANUATU ISLANDS,-18.311,168.218,0.15,1,,,,,,,,,
2011,9,2,6.8,,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.171,-171.708,0.06,1,,,,,,,,,
2011,10,21,7.4,,NEW ZEALAND,KERMADEC ISLANDS,-28.993,-176.238,0.14,3,,,,,,,,,
2012,2,2,7,,VANUATU,VANUATU ISLANDS,-17.827,167.133,0.08,1,,,,,,,,,
2012,3,9,6.7,,VANUATU,OFF EAST COAST OF VANUATU,-19.125,169.613,0.05,2,,,,,,,,,
2012,3,14,6.9,,JAPAN,HOKKAIDO ISLAND,40.887,144.944,0.2,2,,,,,,,,,
2012,3,20,7.4,,MEXICO,S. MEXICO,16.493,-98.231,0.2,2,,,,2,,13,600,800,
2012,4,11,8.6,,INDONESIA,OFF W. COAST OF N SUMATRA,2.327,93.063,1.08,25,,,,10,,12,,,
2012,4,11,8.2,,INDONESIA,OFF W. COAST OF N SUMATRA,0.802,92.463,,4,,,,,,,,,
2012,4,14,6.3,,VANUATU,VANUATU ISLANDS,-18.972,168.741,,1,,,,,,,,,
2012,7,15,,,GREENLAND,"ILULISSAT ICEFJORD, GREENLAND",69.2,-51.3,,0,,,,,,,,,
2012,8,27,7.3,,EL SALVADOR,EL SALVADOR-NICARAGUA,12.139,-88.59,6.3,39,,,,,,40,,,
2012,8,31,7.6,,PHILIPPINES,PHILIPPINE ISLANDS,10.811,126.638,0.15,17,,,,1,,1,0.3,,
2012,9,5,7.6,,COSTA RICA,COSTA RICA,10.085,-85.315,0.16,5,,,,2,,20,45,,
2012,10,28,7.7,,CANADA,BRITISH COLUMBIA,52.788,-132.101,12.98,178,,,,1,,,,,
2012,11,7,7.3,,GUATEMALA,GUATEMALA,13.988,-91.895,0.35,7,,,,48,,155,210,2769,7561
2012,12,7,7.2,,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1,3,,,,,,11,,,
2012,12,28,,,CHINA,"ZHAOJUN BRIDGE, HUBEI PROVINCE",31.256,110.733,,0,,,,,,,,,
2013,1,5,7.5,,USA,"SE. ALASKA, AK",55.393,-134.652,1.5,8,,,,,,,,,
2013,2,6,7.9,,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.766,165.114,11,124,,,,10,,15,36,588,478
2013,2,8,7,,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.928,166.018,0.09,1,,,,,,,,,
2013,4,19,7.2,,RUSSIA,S. KURIL ISLANDS,46.221,150.788,0.2,1,,,,,,,,,
2013,4,22,6,,MEXICO,MEXICO,18.081,-102.182,0.13,1,,,,,,,,,
2013,6,13,,,USA,NORTHWEST ATLANTIC OCEAN,,,1.8,38,,,,,,2,,,
2013,6,15,6.2,,GREECE,CRETE,34.4,25.02,0.01,1,,,,,,,,,
2013,7,21,6.5,,NEW ZEALAND,COOK STRAIT,-41.704,174.337,0.07,2,,,,,,5,50,,35
2013,8,16,6.5,,NEW ZEALAND,WELLINGTON,-41.734,174.152,0.08,2,,,,,,,,,
2013,9,24,7.7,,PAKISTAN,OFF COAST GWADAR,25.18,62.26,0.57,11,,,,825,,619,100,32638,14118
2013,10,12,6.6,,GREECE,CRETE,35.514,23.252,0.01,1,,,,,,1,,,
2013,10,25,7.1,,JAPAN,E. COAST HONSHU ISLAND,37.156,144.661,0.4,9,,,,,,1,,,
2013,11,17,7.7,,ANTARCTICA,SCOTIA SEA,-60.274,-46.401,0.15,2,,,,,,,,,
2014,3,16,6.7,,CHILE,NORTHERN CHILE,-19.981,-70.702,0.26,7,,,,,,,,,
2014,4,1,8.2,,CHILE,NORTHERN CHILE,-19.61,-70.769,4.63,201,,,,7,,,100,,2600
2014,4,3,7.7,,CHILE,NORTHERN CHILE,-20.571,-70.493,0.74,5,,,,,,,,,
2014,4,12,7.6,,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.27,162.148,0.05,8,,,,,,,,,
2014,4,13,7.4,,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.463,162.051,0.16,9,,,,,,,,,
2014,4,18,7.2,,MEXICO,S. MEXICO,17.397,-100.972,0.43,3,,,,,,,,,127
2014,4,19,7.5,,PAPUA NEW GUINEA,SOLOMON SEA,-6.755,155.024,0.11,1,,,,,,,,,
2014,5,24,6.9,,GREECE,NORTH AEGEAN SEA,40.289,25.389,0.16,1,,,,3,,310,4500,,
2014,6,23,6.9,,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.977,-177.725,0.13,5,,,,,,,,,
2014,6,23,7.9,,USA,"ALEUTIAN ISLANDS, AK",51.849,178.735,0.17,20,,,,,,,,,
2014,6,23,,,SPAIN,MEDITERRANEAN AND BLACK SEAS,,,2.5,5,,,,,,15,,,
2014,6,27,,,UKRAINE,ODESSA,46.32,30.67,2,0,,,,,,,,,
2014,7,2,,,GREENLAND,"ILULISSAT ICEFJORD, GREENLAND",69.8,-50.217,10,1,,,,,,,,,
2014,7,11,6.5,,JAPAN,SANRIKU,37.005,142.453,0.2,6,,,,,,,,,
2014,7,21,,,ICELAND,ASKJA LAKE,65.02,-16.7,60,1,,,,,,,,,
2014,7,25,6,,USA,"PALMA BAY, AK",58.335,-136.971,0.08,1,,,,,,,,,
2014,10,9,7,,CHILE,EASTER ISLAND REGION,-32.108,-110.811,0.47,5,,,,,,,,,
2014,10,14,7.3,,EL SALVADOR,GULF OF FONSECA,12.526,-88.123,0.02,2,,,,1,,,,5,41
2014,11,15,7.1,,INDONESIA,N. MOLUCCAS ISLANDS,1.893,126.522,0.09,3,,,,,,,,,
2015,2,16,6.7,,JAPAN,HONSHU,39.856,142.881,0.27,3,,,,,,,,,
2015,2,19,6.4,,VANUATU,VANUATU ISLANDS,-16.431,168.148,8,6,,,,,,,,,
2015,3,29,7.5,,PAPUA NEW GUINEA,BISMARCK SEA,-4.729,152.562,0.5,2,,,,,,,,,
2015,5,2,5.7,7537,JAPAN,S. OF HONSHU ISLAND,31.529,140.213,0.6,16,,,,,,,,,
2015,5,5,7.5,,PAPUA NEW GUINEA,NEW BRITAIN,-5.462,151.875,1,1,,,,,,,,,
2015,5,10,,,NORWAY,NORTHERN NORWAY,69.8,20.92,,0,,,,,,,,,
2015,6,24,,,CHINA,"WUSHAN, CHONGQING",31.077,109.896,6.2,1,,,,2,,4,,,
2015,7,1,,,SCOTLAND,NORTH SEA,,,0.18,3,,,,,,1,,,
2015,7,10,6.7,,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.307,158.403,0.01,1,,,,,,,,,
2015,7,18,7,,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.401,165.141,0.09,5,,,,,,,,,
2015,7,27,6.9,,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.376,-169.446,0.08,2,,,,,,,,,
2015,9,16,8.3,,CHILE,CENTRAL CHILE,-31.573,-71.674,13.6,1128,,8.4,,15,1,14,600,2305,10044
2015,10,18,,,USA,"ICY BAY, AK",60.08,-141.3,193,3,,,,,,,,,
2015,11,11,6.9,,CHILE,CENTRAL CHILE,-29.507,-72.007,0.55,2,,,,,,,,,
2015,11,13,6.7,,JAPAN,JAPAN,31.001,128.873,0.3,1,,,,,,,,,
2015,11,17,6.5,,GREECE,IONIAN SEA,38.67,20.6,0.15,1,,,,2,,8,,1,
2015,11,18,6.8,,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.899,158.422,0.1,1,,,,,,,,,
2016,1,25,6.3,,MOROCCO,MOROCCO,35.649,-3.682,0.02,2,,,,1,,26,,,
2016,3,2,7.8,,INDONESIA,SW. SUMATRA,-4.952,94.33,0.21,13,,,,,,,,,
2016,4,16,7.8,,ECUADOR,OFF COAST,0.382,-79.922,0.6,7,,,,663,9,6274,3300,6998,29672
2016,4,28,7,,VANUATU,VANUATU ISLANDS,-16.043,167.379,0.02,2,,,,,,,,,
2016,8,12,7.2,,NEW CALEDONIA,LOYALTY ISLANDS,-22.477,173.117,0.19,1,,,,,,,,,
2016,8,19,7.4,,UK TERRITORY,SOUTHERN ATLANTIC OCEAN,-55.285,-31.877,0.1,1,,,,,,,,,
2016,8,20,6,,JAPAN,SANRIKU,40.394,143.68,0.01,0,,,,,,,,,
2016,9,1,7,,NEW ZEALAND,GISBORNE,-37.359,179.146,0.21,4,,,,,,,,,
2016,11,13,7.8,,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-42.737,173.054,6.9,17,,,,2,,,3900,,
2016,11,21,6.9,,JAPAN,E. COAST HONSHU ISLAND,37.393,141.387,1.44,44,,,,,,,,,
2016,11,24,6.9,,NICARAGUA,NICARAGUA,11.91,-88.897,0.08,3,,,,,,,,,
2016,12,8,7.8,,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.681,161.327,0.43,11,,,,1,,,,191,126
2016,12,9,6.9,,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.749,161.132,0.05,5,,,,,,,,,
2016,12,17,7.9,,PAPUA NEW GUINEA,SOLOMON SEA,-4.505,153.522,0.08,5,,,,,,,,,
2016,12,25,7.6,,CHILE,SOUTHERN CHILE,-43.406,-73.941,0.44,4,,,,,,,,,
2017,1,3,6.9,,FIJI,FIJI ISLANDS,-19.373,176.052,0.01,1,,,,,,,,,
2017,1,22,7.9,,PAPUA NEW GUINEA,BOUGAINVILLE ISLAND,-6.246,155.172,0.04,1,,,,3,,,,,
2017,3,19,,,IRAN,PERSIAN GULF,27.835,51.94,3,27,,,,5,,22,10,85,
2017,4,24,6.9,,CHILE,CENTRAL CHILE,-33.038,-72.062,0.16,4,,,,,,,,,
